siteID,date,month,watershed,d18O,d2H,dexcess,lcexcess,elevation_m,contributing_area_ha,slope_pct,twi,lon,lat,flowing,prior,s1,s2,s1_rhat,s2_rhat,s1_neff,s2_neff
04W04,2021-08-09,8,N04D,-5.84,-36.79,9.93,-0.76,390.92,2.98,3.88,13.69,-96.58868,39.08228,FALSE,"c(0.5, 0.5)",0.4249061202151676,0.5750938797848324,1.0009950265625007,1.0008886436538018,7500,7500
20M04,2021-06-07,6,N20B,-5.98,-36.99,10.85,0.15,389.8,8.61,1.98,15.42,-96.57111,39.08709,TRUE,"c(0.5, 0.5)",0.6162572272418406,0.38374277275815943,1.0054365826137264,1.006467946717865,780,460
20M05,2021-06-07,6,N20B,-6.01,-37.31,10.77,0.07,401,5.44,6.92,13.71,-96.568,39.086,TRUE,"c(0.5, 0.5)",0.6144789018284829,0.3855210981715171,1.003246910650793,1.0016739498991964,1200,2300
20M05,2021-07-13,7,N20B,-5.1,-32.41,8.39,-2.25,401,5.44,6.92,13.71,-96.568,39.086,FALSE,"c(0.5, 0.5)",0.5627946272545336,0.43720537274546645,1.0063312782284755,1.0039899161486907,2800,1800
SFM01,2021-06-07,6,SFKC,-5.94,-37.93,9.59,-1.11,350.81,132.69,1.48,18.45,-96.587193,39.092281,TRUE,"c(0.5, 0.5)",0.5671731074219215,0.4328268925780785,1.0017180880797096,1.0019899282387785,2900,2000
SFM01,2021-07-13,7,SFKC,-5.8,-36.39,10.01,-0.68,350.81,132.69,1.48,18.45,-96.587193,39.092281,FALSE,"c(0.5, 0.5)",0.5799339395966289,0.4200660604033711,1.001175790037849,1.0025010079021812,5300,3400
SFM02,2021-06-07,6,SFKC,-5.91,-36.91,10.37,-0.32,352.75,107.68,2.85,17.58,-96.58632,39.09126,TRUE,"c(0.5, 0.5)",0.6082442773296995,0.39175572267030045,1.0012361320298317,1.0009591230024888,4600,7500
SFM03,2021-06-07,6,SFKC,-5.89,-36.82,10.3,-0.39,353.39,67.33,4.67,16.62,-96.58605,39.09095,TRUE,"c(0.5, 0.5)",0.62386733948369,0.37613266051631006,1.010586292764493,1.0040853138778345,630,770
SFM04,2021-06-07,6,SFKC,-5.88,-36.9,10.14,-0.55,356.14,60.91,0.53,18.69,-96.5844,39.09089,TRUE,"c(0.5, 0.5)",0.5855757846135055,0.4144242153864945,1.000895213970064,1.0009752866254038,7500,7500
SFM05,2021-06-07,6,SFKC,-5.87,-36.77,10.19,-0.5,361.07,58.67,2.98,16.93,-96.58186,39.09019,TRUE,"c(0.5, 0.5)",0.6044467171128173,0.39555328288718267,1.0010373417328784,1.0014985198404636,7500,7500
SFM05,2021-07-13,7,SFKC,-5.68,-36.74,8.7,-1.98,361.07,58.67,2.98,16.93,-96.58186,39.09019,FALSE,"c(0.5, 0.5)",0.5432929220332414,0.4567070779667585,1.0043538861014965,1.0035750678346662,560,720
SFM06,2021-06-07,6,SFKC,-5.88,-36.8,10.24,-0.45,365.22,51.01,2.66,16.9,-96.57941,39.0895,TRUE,"c(0.5, 0.5)",0.598684686540187,0.4013153134598129,1.0045814757965823,1.006238999597887,540,420
SFM07,2021-06-07,6,SFKC,-5.93,-37,10.44,-0.26,367.35,49.91,1.37,17.55,-96.578458,39.088683,TRUE,"c(0.5, 0.5)",0.6093539302415394,0.39064606975846067,1.0010796126113648,1.0014272039547918,7100,3200
SFT01,2021-06-06,6,SFKC,-5.76,-36.56,9.52,-1.16,356.84,4.51,5.29,13.79,-96.58517,39.09185,TRUE,"c(0.5, 0.5)",0.5745696357565909,0.4254303642434091,1.0044609649537568,1.0037069670761614,3100,1300
SFT01,2021-07-13,7,SFKC,-5.79,-37.29,9.03,-1.66,356.84,4.51,5.29,13.79,-96.58517,39.09185,FALSE,"c(0.5, 0.5)",0.5412704773575888,0.4587295226424111,1.0150986222692582,1.0026431809159806,280,1100
SFT01,2021-08-09,8,SFKC,-5.67,-36.25,9.11,-1.57,356.84,4.51,5.29,13.79,-96.58517,39.09185,FALSE,"c(0.5, 0.5)",0.4242345768569299,0.5757654231430701,1.0041855023348496,1.0043764823823007,620,560
SFT02,2021-06-06,6,SFKC,-5.85,-36.98,9.82,-0.87,372.47,4.83,3.58,14.25,-96.57852,39.09105,TRUE,"c(0.5, 0.5)",0.5905849916395365,0.40941500836046346,1.0032294268339612,1.0073305877484338,830,380
01M01,2021-06-07,6,N01B,-5.93,-37.17,10.27,-0.43,373.91,28.31,1.97,16.62,-96.577021,39.086665000000004,TRUE,"c(0.038, 0.962)",0.040074623021710436,0.9599253769782896,1.001190778000824,1.0008161997613796,5100,7500
01M01,2021-08-09,8,N01B,0.18,2.38,0.94,-9.33,373.91,28.31,1.97,16.62,-96.577021,39.086665000000004,FALSE,"c(0.038, 0.962)",0.03945019723158386,0.9605498027684162,1.0013748955582509,1.0017718274680667,3500,2900
01M02,2021-06-07,6,N01B,-5.94,-37.21,10.31,-0.39,375.43,27.88,6.79,15.36,-96.576332,39.086288,TRUE,"c(0.038, 0.962)",0.04009566666221486,0.9599043333377851,1.0009402021475673,1.0009815990461304,7500,7500
01M02,2021-07-13,7,N01B,-6.13,-38.39,10.65,-0.06,375.43,27.88,6.79,15.36,-96.576332,39.086288,TRUE,"c(0.038, 0.962)",0.0394270326083538,0.9605729673916462,1.0008320267961035,1.0011062255236922,7500,6500
01M03,2021-06-07,6,N01B,-5.75,-36.41,9.59,-1.09,378.81,26,4.62,15.68,-96.575936,39.084711,TRUE,"c(0.038, 0.962)",0.03920043008604782,0.9607995699139522,1.000846876700127,1.0008069908251989,7500,7500
01M04,2021-06-07,6,N01B,-5.79,-36.59,9.73,-0.96,381.78,24.7,3.51,15.9,-96.5751011,39.08357235,TRUE,"c(0.038, 0.962)",0.03855761854330986,0.9614423814566901,1.001415468593158,1.0019059423181744,3200,2000
01M05,2021-06-07,6,N01B,-5.81,-36.79,9.69,-1,384.71,19.88,2.67,15.96,-96.574188,39.082643,TRUE,"c(0.038, 0.962)",0.03960266897127374,0.9603973310287263,1.000871069674012,1.0010941163866134,7500,6800
01M05,2021-07-13,7,N01B,-5.59,-35.86,8.86,-1.81,384.71,19.88,2.67,15.96,-96.574188,39.082643,FALSE,"c(0.038, 0.962)",0.03938760799582496,0.960612392004175,1.000804361778728,1.001250811303215,7500,4400
01M05,2021-08-09,8,N01B,-5.19,-32.64,8.88,-1.76,384.71,19.88,2.67,15.96,-96.574188,39.082643,FALSE,"c(0.038, 0.962)",0.039085138448810945,0.9609148615511891,1.0013884140306684,1.0015058581927918,3400,2800
01M06,2021-06-07,6,N01B,-5.77,-36.4,9.76,-0.92,394.22,10.56,1.75,15.75,-96.571582,39.080649,TRUE,"c(0.038, 0.962)",0.0399982537863942,0.9600017462136058,1.0013313961197032,1.0016628790862887,3800,2600
02M01,2021-06-07,6,N02B,-5.78,-36.42,9.82,-0.86,353.35,24.15,0.69,17.51,-96.58815,39.09187,TRUE,"c(0.038, 0.962)",0.039535663497367333,0.9604643365026326,1.0008621572795497,1.0008259893062392,7500,7500
02M02,2021-06-07,6,N02B,-5.8,-36.55,9.85,-0.84,356.27,23.73,1.46,16.74,-96.58832556,39.09084425,TRUE,"c(0.038, 0.962)",0.04006213877327668,0.9599378612267233,1.001147116580788,1.0009138969355986,5700,7500
02M03,2021-06-07,6,N02B,-5.83,-36.58,10.06,-0.63,358.5,20.35,2.81,15.93,-96.58859,39.08991,TRUE,"c(0.038, 0.962)",0.03914568835789685,0.9608543116421031,1.0014685969259698,1.0008149848774113,3100,7500
02M04,2021-06-07,6,N02B,-5.9,-37.08,10.12,-0.57,364.22,18.99,2.39,16.02,-96.589642,39.088242,TRUE,"c(0.038, 0.962)",0.03940783954321794,0.9605921604567821,1.000835254401357,1.000941522036161,7500,7500
02M05,2021-06-07,6,N02B,-5.89,-37.18,9.94,-0.75,367.76,17.78,1.63,16.34,-96.59082413,39.08698067,TRUE,"c(0.038, 0.962)",0.03879003908046485,0.9612099609195351,1.0009559898964753,1.0010612983001388,7500,7500
02M05,2021-07-13,7,N02B,-5.78,-36.94,9.3,-1.38,367.76,17.78,1.63,16.34,-96.59082413,39.08698067,FALSE,"c(0.038, 0.962)",0.0403145100772109,0.9596854899227891,1.0009327394117131,1.0011682568632945,7500,5400
02M05,2021-08-09,8,N02B,-5.84,-36.71,10.01,-0.68,367.76,17.78,1.63,16.34,-96.59082413,39.08698067,TRUE,"c(0.038, 0.962)",0.03974142839477367,0.9602585716052263,1.0009573648477863,1.0009322991427867,7500,7500
02M06,2021-06-07,6,N02B,-5.9,-36.87,10.33,-0.36,369.41,15.69,3.55,15.44,-96.591427,39.087237,TRUE,"c(0.038, 0.962)",0.04015521391634941,0.9598447860836505,1.0017076020955837,1.0017169520095024,2200,2200
02M06,2021-08-09,8,N02B,-1.47,-12.17,-0.41,-10.79,369.41,15.69,3.55,15.44,-96.591427,39.087237,FALSE,"c(0.038, 0.962)",0.03907364318267455,0.9609263568173254,1.001002466242007,1.0015747548227882,7500,2600
02M07,2021-06-07,6,N02B,-5.9,-36.99,10.21,-0.48,373.3,14.13,3.81,15.26,-96.59252,39.08648,TRUE,"c(0.038, 0.962)",0.03881776202498743,0.9611822379750126,1.0010163616239092,1.0009628027524822,7500,7500
02M07,2021-07-13,7,N02B,-5.93,-37.57,9.87,-0.83,373.3,14.13,3.81,15.26,-96.59252,39.08648,TRUE,"c(0.038, 0.962)",0.038804311193795474,0.9611956888062045,1.00082420352226,1.000821929037298,7500,7500
02M07,2021-08-09,8,N02B,-2.17,-17.99,-0.63,-11.06,373.3,14.13,3.81,15.26,-96.59252,39.08648,FALSE,"c(0.038, 0.962)",0.03830210065928508,0.9616978993407149,1.0010412566788702,1.000923998224038,7500,7500
02M08,2021-06-07,6,N02B,-5.93,-37.18,10.26,-0.44,376.87,12.97,1.79,15.93,-96.592913,39.085573,TRUE,"c(0.038, 0.962)",0.03985585581756309,0.9601441441824369,1.0010940787921716,1.0010380189217047,6800,7500
